order,nrowMRD,jfID,ncolfrLast
5964,29132,X907514182007_H_2,37732
5965,29857,X907514182015_F_1,38457
5966,30122,X907514182018_D_5,38722
5967,29560,X907514182012_D_7,38160
5968,27731,X907514049011_C_1,33337
5969,30192,X907514182019_B_5,38792
5970,29791,X907514182014_H_4,38391
5971,29511,X907514182011_H_6,38111
5972,29982,X907514182016_H_7,38582
5973,30628,X907514182023_G_9,39228
5974,28747,X907514182003_G_2,37347
5975,29700,X907514182013_H_7,38300
5976,30032,X907514182017_D_9,38632
5977,29322,X907514182009_H_4,37922
5978,28016,X907514049014_H_2,33622
5979,27857,X907514049012_E_8,33463
5980,28523,X907514182001_D_11,37123
5981,28238,X907514050003_C_7,33844
5982,28856,X907514182004_H_6,37456
5983,30273,X907514182020_A_5,38873
5984,28889,X907514182005_C_3,37489
5985,28654,X907514182002_G_3,37254
5986,27882,X907514049012_H_1,33488
5987,27906,X907514049013_B_10,33512
5988,27573,X907514049009_E_4,33179
5989,29315,X907514182009_G_8,37915
5990,28195,X907514050002_H_10,33801
5991,29645,X907514182013_D_1,38245
5992,29169,X907514182008_C_3,37769
5993,29809,X907514182015_B_1,38409
5994,28796,X907514182004_C_4,37396
5995,28247,X907514050003_D_4,33853
5996,30051,X907514182017_F_4,38651
5997,30466,X907514182022_B_11,39066
5998,29695,X907514182013_H_2,38295
5999,27828,X907514049012_C_3,33434
6000,27897,X907514049013_A_2,33503
6001,29491,X907514182011_F_8,38091
6002,27495,X907514049008_F_8,33101
6003,28730,X907514182003_E_8,37330
6004,29703,X907514182014_A_1,38303
6005,29933,X907514182016_D_4,38533
6006,30159,X907514182018_G_7,38759
6007,29244,X907514182009_A_8,37844
6008,29177,X907514182008_D_10,37777
6009,29616,X907514182013_A_5,38216
6010,27628,X907514049010_B_12,33234
6011,29566,X907514182012_E_12,38166
6012,28365,X907514050004_F_5,33971
6013,30067,X907514182017_G_9,38667
6014,28563,X907514182001_G_5,37163
6015,29376,X907514182010_E_1,37976
6016,27641,X907514049010_C_2,33247
6017,30489,X907514182022_D_10,39089
6018,27695,X907514049010_G_9,33301
6019,27872,X907514049012_G_10,33478
6020,28715,X907514182003_D_5,37315
6021,30544,X907514182022_H_8,39144
6022,28703,X907514182003_C_5,37303
6023,28293,X907514050003_H_4,33899
6024,30232,X907514182019_E_9,38832
6025,28948,X907514182005_H_4,37548
6026,27657,X907514049010_D_6,33263
6027,30133,X907514182018_E_4,38733
6028,29518,X907514182012_A_12,38118
6029,27560,X907514049009_D_3,33166
6030,30575,X907514182023_C_3,39175
6031,29692,X907514182013_H_1,38292
6032,29428,X907514182011_A_4,38028
6033,29800,X907514182015_A_12,38400
6034,29058,X907514182007_B_1,37658
6035,28697,X907514182003_C_10,37297
6036,29432,X907514182011_A_8,38032
6037,28827,X907514182004_F_10,37427
6038,29702,X907514182013_H_9,38302
6039,28404,X907514050005_B_1,34010
6040,29984,X907514182016_H_9,38584
6041,30563,X907514182023_B_3,39163
6042,27489,X907514049008_F_2,33095
6043,27894,X907514049013_A_10,33500
6044,29240,X907514182009_A_4,37840
6045,29205,X907514182008_F_3,37805
6046,29262,X907514182009_C_2,37862
6047,30468,X907514182022_B_2,39068
6048,28976,X907514182006_B_8,37576
6049,27591,X907514049009_G_1,33197
6050,29964,X907514182016_G_10,38564
6051,29496,X907514182011_G_2,38096
6052,29506,X907514182011_H_11,38106
6053,27585,X907514049009_F_4,33191
6054,29235,X907514182009_A_10,37835
6055,29625,X907514182013_B_2,38225
6056,30545,X907514182022_H_9,39145
6057,30107,X907514182018_C_2,38707
6058,30495,X907514182022_D_5,39095
6059,30449,X907514182021_H_7,39049
6060,30363,X907514182021_A_12,38963
6061,29005,X907514182006_E_2,37605
6062,30084,X907514182018_A_3,38684
