geno,ngr2,ngr3,ngr4,ngr5,ngr6,ngr7,ngr8,ngr9,ngr10,ngr11,ngr12,ngr13,ngr14,ngr15,ngr20,ngr25,ngr30,ngr35,ngr40,ngr45,ngr50
X902112234006_H_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234006_H_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234006_H_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234006_H_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234006_H_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234006_H_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234006_H_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234006_H_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234006_H_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234006_H_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,22
X902112234007_A_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_A_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X902112234007_B_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_B_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X902112234007_C_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_C_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_5,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X902112234007_D_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X902112234007_D_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_D_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_E_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X902112234007_E_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_E_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_E_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_E_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_E_5,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X902112234007_E_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X902112234007_E_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_E_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_E_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X902112234007_F_6,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X902112234007_F_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_F_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_G_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_G_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_G_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_G_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_G_4,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,20,21,21
X902112234007_G_5,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,20,21,21
X902112234007_G_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_G_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_G_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_5,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X902112234007_H_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234007_H_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_A_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_A_10,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,11,13,13,16,17,17
X902112234008_A_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_A_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_A_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_A_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_A_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_B_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_B_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_B_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_B_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_B_5,1,1,1,1,1,3,6,6,7,7,7,7,7,7,13,14,16,16,26,27,28
X902112234008_B_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_C_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_C_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_C_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_C_4,1,1,1,1,1,3,6,6,7,7,7,7,10,12,15,17,20,21,25,26,27
X902112234008_C_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_C_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_C_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_D_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_D_2,1,1,1,1,1,3,6,6,7,7,7,7,10,10,12,13,15,15,18,19,19
X902112234008_D_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_D_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_D_6,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X902112234008_D_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_D_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_E_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_E_2,1,1,1,1,1,1,1,1,1,8,8,8,8,8,10,10,11,11,12,13,13
X902112234008_E_4,1,1,1,1,1,3,6,6,7,7,7,7,7,7,13,14,16,16,26,27,28
X902112234008_E_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_E_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_F_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_F_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_F_2,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X902112234008_F_3,1,1,1,1,1,3,6,7,8,9,9,9,9,9,11,12,14,14,17,18,18
X902112234008_F_4,1,1,1,1,1,3,6,6,7,7,7,7,10,12,15,17,20,21,25,26,27
X902112234008_F_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_G_1,1,1,1,1,1,3,6,7,8,9,9,9,9,9,11,12,14,14,17,18,18
X902112234008_G_11,1,1,1,1,1,3,6,7,8,9,9,9,9,9,11,12,14,14,17,18,18
X902112234008_G_2,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X902112234008_G_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_G_4,1,1,1,1,1,3,6,6,7,7,7,7,10,12,15,17,20,21,25,26,27
X902112234008_G_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_G_6,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,11,13,13,16,17,17
X902112234008_G_8,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7
X902112234008_H_1,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X902112234008_H_11,1,1,1,1,1,3,6,7,8,9,9,9,9,9,11,12,14,14,17,18,18
X902112234008_H_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_H_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234008_H_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234008_H_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234009_A_1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_A_10,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,17,21,22,23
X902112234009_A_11,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_A_12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_A_2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_A_3,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_A_4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_A_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_A_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_A_8,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_A_9,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,9,9,10,11,11
X902112234009_B_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_10,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_11,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_B_12,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_4,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_B_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X902112234009_B_9,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_C_1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_C_10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_C_11,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_C_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234009_C_3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_C_4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_C_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_C_6,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_C_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_C_8,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_C_9,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_D_11,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_D_12,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_D_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_6,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_D_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_8,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_D_9,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_E_1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_E_10,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_E_11,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_E_12,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_E_2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_E_3,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_E_4,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_E_5,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_E_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_E_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_E_8,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_E_9,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_F_1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_F_10,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_F_11,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_F_12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_F_2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_F_3,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_F_4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_F_5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_F_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_F_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_F_8,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_F_9,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_G_1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_G_10,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_G_11,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_G_2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X902112234009_G_3,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X902112234009_G_4,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_G_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_G_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_G_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_G_8,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_G_9,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_H_1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,9,9,10,11,11
X902112234009_H_10,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_H_11,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_H_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X902112234009_H_3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_H_4,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_H_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_H_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_H_7,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X902112234009_H_8,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X902112234009_H_9,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X903111229001_A_1,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X903111229001_A_10,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_A_11,2,3,3,4,4,5,5,5,6,6,6,6,6,6,18,21,24,28,33,35,36
X903111229001_A_12,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_A_2,2,3,3,4,4,5,5,5,6,6,6,6,6,6,18,20,23,25,30,31,32
X903111229001_A_3,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_A_4,2,3,3,4,4,5,5,5,6,6,6,6,6,6,18,20,23,25,30,31,32
X903111229001_A_5,2,3,3,4,4,5,5,5,6,6,6,12,13,14,19,22,25,27,32,34,35
X903111229001_A_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_A_7,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_A_8,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_A_9,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_1,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_10,2,3,3,4,4,5,5,5,6,6,6,6,6,6,18,20,23,25,30,31,32
X903111229001_B_11,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_12,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_2,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_3,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_4,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_5,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,18,20,23,25,30,31,32
X903111229001_B_7,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_8,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_B_9,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X903111229001_C_1,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
