ncolfr,names
274,X903112033003_G_5
275,X903112033003_G_6
276,X903112033003_G_7
277,X903112033003_G_8
278,X903112033003_G_9
279,X903112033003_H_1
280,X903112033003_H_10
281,X903112033003_H_11
282,X903112033003_H_2
283,X903112033003_H_3
284,X903112033003_H_4
285,X903112033003_H_5
286,X903112033003_H_6
287,X903112033003_H_7
288,X903112033003_H_8
289,X903112033003_H_9
290,X903112033004_A_1
291,X903112033004_A_10
292,X903112033004_A_11
293,X903112033004_A_12
294,X903112033004_A_2
295,X903112033004_A_3
296,X903112033004_A_4
297,X903112033004_A_5
298,X903112033004_A_6
299,X903112033004_A_7
300,X903112033004_A_8
301,X903112033004_A_9
302,X903112033004_B_1
303,X903112033004_B_10
304,X903112033004_B_11
305,X903112033004_B_12
306,X903112033004_B_2
307,X903112033004_B_3
308,X903112033004_B_4
309,X903112033004_B_5
310,X903112033004_B_6
311,X903112033004_B_7
312,X903112033004_B_8
313,X903112033004_B_9
314,X903112033004_C_1
315,X903112033004_C_10
316,X903112033004_C_11
317,X903112033004_C_12
318,X903112033004_C_2
319,X903112033004_C_3
320,X903112033004_C_4
321,X903112033004_C_5
322,X903112033004_C_6
323,X903112033004_C_7
324,X903112033004_C_8
325,X903112033004_C_9
326,X903112033004_D_1
327,X903112033004_D_10
328,X903112033004_D_11
329,X903112033004_D_12
330,X903112033004_D_2
331,X903112033004_D_3
332,X903112033004_D_4
333,X903112033004_D_5
334,X903112033004_D_6
335,X903112033004_D_7
336,X903112033004_D_8
337,X903112033004_D_9
338,X903112033004_E_1
339,X903112033004_E_10
340,X903112033004_E_11
341,X903112033004_E_12
342,X903112033004_E_2
343,X903112033004_E_3
344,X903112033004_E_4
345,X903112033004_E_5
346,X903112033004_E_6
347,X903112033004_E_7
348,X903112033004_E_8
349,X903112033004_E_9
350,X903112033004_F_1
351,X903112033004_F_10
352,X903112033004_F_11
353,X903112033004_F_12
354,X903112033004_F_2
355,X903112033004_F_3
356,X903112033004_F_4
357,X903112033004_F_5
358,X903112033004_F_6
359,X903112033004_F_7
360,X903112033004_F_8
361,X903112033004_F_9
362,X903112033004_G_1
363,X903112033004_G_10
364,X903112033004_G_11
365,X903112033004_G_2
366,X903112033004_G_3
367,X903112033004_G_4
368,X903112033004_G_5
369,X903112033004_G_6
370,X903112033004_G_7
371,X903112033004_G_8
372,X903112033004_G_9
373,X903112033004_H_1
374,X903112033004_H_10
375,X903112033004_H_11
376,X903112033004_H_2
377,X903112033004_H_3
378,X903112033004_H_4
379,X903112033004_H_5
380,X903112033004_H_6
381,X903112033004_H_7
382,X903112033004_H_8
383,X903112033004_H_9
384,X903112129002_F_12
385,X904312289010_A_10
386,X904312289010_A_11
387,X904312289010_A_12
388,X904312289010_A_5
389,X904312289010_A_6
390,X904312289010_A_7
391,X904312289010_A_8
392,X904312289010_B_10
393,X904312289010_B_11
394,X904312289010_B_12
395,X904312289010_B_5
396,X904312289010_B_6
397,X904312289010_B_7
398,X904312289010_B_8
399,X904312289010_C_10
400,X904312289010_C_11
401,X904312289010_C_12
402,X904312289010_C_5
403,X904312289010_C_6
404,X904312289010_C_7
405,X904312289010_C_8
406,X904312289010_D_10
407,X904312289010_D_11
408,X904312289010_D_12
409,X904312289010_D_5
410,X904312289010_D_6
411,X904312289010_D_7
412,X904312289010_D_8
413,X904312289010_D_9
414,X904312289010_E_10
415,X904312289010_E_11
416,X904312289010_E_12
417,X904312289010_E_5
418,X904312289010_E_6
419,X904312289010_E_7
420,X904312289010_E_8
421,X904312289010_E_9
422,X904312289010_F_10
423,X904312289010_F_11
424,X904312289010_F_12
425,X904312289010_F_5
426,X904312289010_F_6
427,X904312289010_F_7
428,X904312289010_G_10
429,X904312289010_G_11
430,X904312289010_G_5
431,X904312289010_G_6
432,X904312289010_G_7
433,X904312289010_G_9
434,X904312289010_H_10
435,X904312289010_H_11
436,X904312289010_H_5
437,X904312289010_H_6
438,X904312289010_H_7
439,X904312289010_H_9
440,X904312289011_A_1
441,X904312289011_A_11
442,X904312289011_A_2
443,X904312289011_A_3
444,X904312289011_A_4
445,X904312289011_A_5
446,X904312289011_A_7
447,X904312289011_A_9
448,X904312289011_B_1
449,X904312289011_B_11
450,X904312289011_B_2
451,X904312289011_B_3
452,X904312289011_B_4
453,X904312289011_B_7
454,X904312289011_B_8
455,X904312289011_B_9
456,X904312289011_C_1
457,X904312289011_C_11
458,X904312289011_C_2
459,X904312289011_C_3
460,X904312289011_C_4
461,X904312289011_C_7
462,X904312289011_C_8
463,X904312289011_D_1
464,X904312289011_D_10
465,X904312289011_D_11
466,X904312289011_D_12
467,X904312289011_D_2
468,X904312289011_D_3
469,X904312289011_D_4
470,X904312289011_D_7
471,X904312289011_D_8
472,X904312289011_D_9
473,X904312289011_E_1
474,X904312289011_E_11
475,X904312289011_E_12
476,X904312289011_E_2
477,X904312289011_E_3
478,X904312289011_E_4
479,X904312289011_E_7
480,X904312289011_E_8
481,X904312289011_E_9
482,X904312289011_F_1
483,X904312289011_F_2
484,X904312289011_F_3
485,X904312289011_F_4
486,X904312289011_F_8
487,X904312289011_G_1
488,X904312289011_G_10
489,X904312289011_G_2
490,X904312289011_G_3
491,X904312289011_G_7
492,X904312289011_G_8
493,X904312289011_H_1
494,X904312289011_H_10
495,X904312289011_H_2
496,X904312289011_H_3
497,X904312289011_H_4
498,X904312289011_H_7
499,X904312289011_H_8
500,X904312296001_G_1
501,X904312296001_H_1
502,X904312296006_G_9
503,X904312303001_B_11
504,X904312303006_A_3
505,X904312303006_B_3
506,X904312303006_C_2
507,X904312303006_D_2
508,X904312303006_E_1
509,X904312303006_E_2
510,X904312303006_F_2
511,X904312303006_G_2
512,X904312303006_H_2
513,X908014125005_A_5
514,X908014125006_D_3
515,X908014125012_H_4
516,X908015184001_A_1
517,X908015184001_A_10
518,X908015184001_A_11
519,X908015184001_A_12
520,X908015184001_A_2
521,X908015184001_A_3
522,X908015184001_A_4
523,X908015184001_A_5
524,X908015184001_A_6
525,X908015184001_A_7
526,X908015184001_A_8
527,X908015184001_A_9
528,X908015184001_B_1
529,X908015184001_B_10
530,X908015184001_B_11
531,X908015184001_B_12
532,X908015184001_B_2
533,X908015184001_B_3
534,X908015184001_B_4
535,X908015184001_B_5
536,X908015184001_B_6
537,X908015184001_B_7
538,X908015184001_B_8
539,X908015184001_B_9
540,X908015184001_C_1
